,regions
685,"Bed nuclus of the stria terminalis, lateral division, posterior part"
686,"Bed nucleus of the stria terminalis, lateral division, ventral part "
687,"Bed nucleus of the stria terminalis, lateral division, intermediate part"
688,"Bed nucleus of the stria terminalis, intraamygdaloid"
689,Bed nucleus of the anterior commissure
690,Cerebellum
691,Cerebellar cortex
692,Vermal regions
693,Lobule 1 of the cerebellar vermis
694,"Lobule 1 of the cerebellar vermis, molecular layer"
696,"Lobule 1 of the cerebellar vermis, granular layer"
698,Lobule 2 of the cerebellar vermis
699,"Lobule 2 of the cerebellar vermis, molecular layer"
701,"Lobule 2 of the cerebellar vermis, granular layer"
702,Lobule 3 of the cerebellar vermis
703,"Lobule 3 of the cerebellar vermis, molecular layer"
705,"Lobule 3 of the cerebellar vermis, granular layer"
706,Culmen
707,Lobule 4 of the cerebellar vermis
711,Lobule 5 of the cerebellar vermis
715,Lobules 4 and 5 of the cerebellar vermis
716,"Lobules 4 and 5 of the cerebellar vermis, molecular layer"
718,"Lobules 4 and 5 of the cerebellar vermis, granular layer"
719,Lobule 6 of the cerebellar vermis
720,"Lobule 6 of the cerebellar vermis, molecular layer"
722,"Lobule 6 of the cerebellar vermis, granular layer"
723,Lobule 7 of the cerebellar vermis
724,"Lobule 7 of the cerebellar vermis, molecular layer"
726,"Lobule 7 of the cerebellar vermis, granular layer"
727,Lobule 8 of the cerebellar vermis
728,"Lobule 8 of the cerebellar vermis, molecular layer"
730,"Lobule 8 of the cerebellar vermis, granular layer"
731,Lobule 9 of the cerebellar vermis
732,"Lobule 9 of the cerebellar vermis, molecular layer"
734,Lobule 9 of the cerebellar vermis
735,Lobule 10 of the cerebellar vermis
736,"Lobule 10 of the cerebellar vermis, molecular layer"
738,"Lobule 10 of the cerebellar vermis, granular layer"
739,Hemispheric regions
740,Simple lobule
741,"Simple lobule, molecular layer"
743,"Simple lobule, granular layer"
745,Crus 1 of the ansiform lobule
746,"Crus 1 of the ansiform lobule, molecular layer"
748,"Crus 1 of the ansiform lobule, granular layer"
749,Crus 2 of the ansiform lobule
750,"Crus 2 of the ansiform lobule, molecular layer"
752,"Crus 2 of the ansiform lobule, granular layer"
753,Paramedian lobule
754,"Paramedian lobule, molecular layer"
756,"Paramedian lobule, granular layer"
757,Copula of the pyramis
758,"Copula of the pyramis, molecular layer"
760,"Copula of the pyramis, granular layer"
761,Paraflocculus
762,"Paraflocculus, molecular layer"
764,"Paraflocculus, granular layer"
765,Flocculus
766,"Flocculus, molecular layer"
768,"Flocculus, granular layer"
772,Cerebellar nuclei
773,Medial cerebellar nucleus
774,"Medial cerebellar nucleus, dorsolateral protuberance"
775,"Medial cerebellar nucleus, lateral part"
776,Interposed cerebellar nucleus
777,"Interposed cerebellar nucleus, anterior part"
778,"Interposed cerebellar nucleus, dorsolateral hump"
779,"Interposed cerebellar nucleus, posterior part"
780,"Interposed cerebellar nucleus, posterior parvicellular"
781,Dentate nucleus 
782,Lateral (dentate) cerebellar nucleus
783,"Lateral cerebellar nucleus, parvicellular part"
784,Brain stem
785,Interbrain
786,Thalamus
787,Periventricular gray 
788,"Thalamus, sensory-motor cortex related"
789,Ethmoid thalamic nucleus
790,Retroethmoid nucleus
791,Scaphoid thalamic nucleus
792,Posterior intralaminar thalamic nucleus
793,Ventral group thalamic nucleus
794,Ventrolateral thalamic nucleus
795,Ventral anterior thalamic nucleus
796,Ventromedial thalamic nucleus
797,Ventral posterior thalamic nucleus
798,Ventral posterolateral thalamic nucleus
799,Ventral posteromedial thalamic nucleus
800,"Ventral posteromedial nucleus of the thalamus, dorsal part"
801,"Ventral posteromedial nucleus of the thalamus, ventral part"
802,"Ventral posterior nucleus of the thalamus, parvicellular"
805,Subparafascicular thalamic nucleus
807,"Subparafascicular thalamic nucleus, parvicellular part"
809,Peripeduncular nucleus
810,Subbrachial nucleus
811,Geniculate group of the thalamus
812,Medial geniculate nucleus
813,"Medial geniculate nucleus, dorsal part"
814,"Medial geniculate nucleus, ventral part"
815,"Medial geniculate nucleus, medial part"
816,Marginal zone of the medial geniculate
817,Dorsal lateral geniculate nucleus
818,"Thalamus, polymodal association cortex related"
819,Lateral group of the dorsal thalamus
820,Lateral posterior thalamic nucleus
821,"Lateral posterior thalamic nucleus, mediorostral part"
822,"Lateral posterior thalamic nucleus, mediocaudal part"
823,"Lateral posterior thalamic nucleus, laterorostral part"
824,"Lateral posterior thalamic nucleus, laterocaudal part"
825,Intramedullary thalamic area
826,Posterior thalamic nuclear group
827,Angular thalamic nucleus
828,"Posterior thalamic nuclear group, triangular part"
829,Posterior limitans thalamic nucleus
830,Suprageniculate thalamic nucleus
831,Anterior group of the dorsal thalamus
832,Anteroventral thalamic nucleus
833,"Anteroventral thalamic nucleus, ventrolateral part"
834,"Anterovent thalamic nucleus, dorsomedial part"
835,Anteromedial thalamic nucleus
837,"Anteromedial thalamic nucleus, ventral part"
838,Anterodorsal thalamic nucleus
839,Interanteromedial thalamic nucleus
840,Interanterodorsal thalamic nucleus
841,Lateral dorsal nucleus of thalamus
842,"Laterodorsal thalamic nucleus, ventrolateral part"
843,"Laterodorsal thalamic nucleus, dorsomedial part"
844,Medial group of the dorsal thalamus
845,Intermediodorsal thalamic nucleus
846,Posteromedian thalamic nucleus
847,Mediodorsal thalamic nucleus
848,"Mediodorsal thalamic nucleus, central part"
849,"Mediodorsal thalamic nucleus, lateral part "
850,"Mediodorsal thalamic nucleus, medial part"
851,Submedius thalamic nucleus
852,"Submedius thalamic nucleus, dorsal part"
853,"Submedius thalamic nucleus, ventral part"
855,Midline group of the dorsal thalamus
856,Paraventricular nucleus of the thalamus
857,"Paraventricular thalamic nucleus, anterior part"
858,"Paraventricular thalamic nucleus, posterior part"
859,Parataenial thalamic nucleus
860,Xiphoid thalamic nucleus
861,Paraxiphoid nucleus of thalamus
862,Accessory neuosecretory nuclei
863,Reuniens area
864,Reuniens thalamic nucleus
865,Retrouniens area
866,Ventral reuniens thalamic nucleus
867,Intralaminar nuclei of the dorsal thalamus
868,Rhomboid thalamic nucleus
869,Central medial thalamic nucleus
870,Paracentral thalamic nucleus
871,Oval paracentral thalamic nucleus
872,Centrolateral thalamic nucleus
873,Parafascicular thalamic nucleus
874,Reticular nucleus (prethalamus)
875,"Geniculate group, ventral thalamus"
876,Intergeniculate leaflet
877,Pregeniculate nucleus of the prethalamus
878,"Pregeniculate nucleus, magnocellular part"
879,"Pregeniculate nucleus, parvicellular part"
882,Subgeniculate nucleus of the prethalamus
883,Epithalamus
884,Medial habenular nucleus
885,Lateral habenular nucleus
886,"Lateral habenular nucleus, medial part"
887,"Lateral habenular nucleus, lateral part"
888,Pineal gland
889,Hypothalamus
890,Periventricular zone
891,Supraoptic nucleus
892,"Supraoptic nucleus, retrochiasmatic part"
893,Episupraoptic nucleus
894,Accessory supraoptic group
895,Circulur nucleus
896,"Paraventricular thalamic nucleus, anterior part"
897,"Paraventricular hypothalamic nucleus, magnocellular division"
899,"Paraventricular hypothalamic nucleus, medial magnocellular part"
901,"Paraventricular hypothalamic nucleus, lateral magnocellular part"
902,"Paraventricular hypothalamic nucleus, posterior part"
903,"Paraventricular hypothalamic nucleus, parvicellular division"
904,"Paraventricular hypothalamic nucleus, anterior parivcellular part"
905,Anterior perifornical nucleus
906,"Paraventricular hypothalamic nucleus, medial parvicellular part"
908,"Paraventricular hypothalamic nucleus, ventral part"
910,Arcuate hypothalamic nucleus
911,"Arcuate hypothalamic nucleus, dorsal part"
912,"Arcuate hypothalamic nucleus, lateral part"
913,"Arcuate hypothalamic nucleus, lateroposterior part"
914,"Arcuate hypothalamic nucleus, medial part"
915,"Arcuate hypothalamic nucleus, medial posterior part"
916,Periventricular region
920,Anteroventral periventricular nucleus
921,Dorsomedial hypothalamic nucleus
922,"Dorsomedial hypothalamic nucleus, dorsal part"
923,"Dorsomedial hypothalamic nucleus, compact part"
924,"Dorsomedial hypothalamic nucleus, ventral part"
925,"Dorsomedial nucleus of the hypothalamus, anterior part"
926,Median preoptic nucleus
927,DA14 Dopamine Cells
928,Medial preoptic area
929,Strial part of the preoptic area
930,Striohypothalamic nucleus
931,Anterior commissural nucleus
932,Vascular organ of the lamina terminalis
933,Posterodorsal preoptic nucleus
934,Parastrial nucleus
937,Periventricular hypothalamic nucleus
938,Subparaventricular zone of the hypothalamus
939,Suprachiasmatic nucleus
940,"Suprachiasmatic nucleus, dorsolateral part"
941,"Suprachiasmatic nucleus, ventromedial part"
942,Subfornical organ
943,Ventromedidal preoptic nucleus
944,Ventrolateral preoptic nucleus
945,Hypothalamic medial zone
946,Anterior hypothalamic nucleus
947,"Anterior hypothalamic area, anterior part"
948,"Anterior hypothalamic area, central part"
950,"Anterior hypothalamic area, posterior part"
951,Lateroanterior hypothalamic nucleus
952,Stigmoid hypothalamic nucleus
953,Mammillary body
954,Lateral mamilllary nucleus
955,"Medial mammillary nucleus, medial part"
956,Mammillary recess of the 3rd ventricle
957,"Medial mammillary nucleus, lateral part"
958,"Medial mammillary nucleus, median part"
959,Retromamillary nucleus
960,"Retromamillary nucleus, lateral part"
961,"Retromamillary nucleus, medial part"
962,Tuberomammillary nucleus
963,Dorsal tuberomammillary nucleus
964,Ventral tuberomammillary nucleus
965,Medial preoptic nucleus
967,"Medial preoptic nucleus, lateral part"
968,"Medial preoptic nucleus, medial part"
969,"Premamillary nucleus, dorsal part"
970,"Premamillary nucleus, ventral part"
971,"Paraventricular hypothalamic nucleus, descending division"
972,"Paraventricular hypothalamic nucleus, dorsal cap"
976,Ventromedial hypothalamic nucleus
977,"Ventromedial hypothalamic nucleus, shell region"
979,"Ventromedial hypothalamic nucleus, central part"
980,"Ventromedial hypothalamic nucleus, dorsomedial part"
981,"Ventromedial hypothalamic nucleus, ventrolateral part"
982,Posterior hypothalamic area
983,Posterior hypothalamic nucleus
984,"Posterior hypothalamic nucleus, dorsal part"
985,"Posterior hypothalamic nucleus, ventral part"
986,"Posterior hypothalamic area, dorsal part"
987,Submammillothalamic nucleus
988,Hypothalamic lateral zone
989,Lateral hypothalamic area
990,Juxtaparaventricular part of lateral hypothalamus
991,Magnocellular nucleus of the lateral hypothalamus
992,Ventrolateral hypothalamic nucleus 
993,Gemini hypothalamic nucleus
994,Peduncular lateral hypothalamus
995,Tuberal region of lateral hypothalamus
996,Perifornical part of lateral hypothalamus
997,Lateral preoptic area
999,Paraterete nucleus
1000,Parasubthalamic nucleus
1001,Retrochiasmatic area
1002,"Retrochiasmatic area, lateral part"
1003,"Retrochiasmatic area, medial part"
1004,Subthalamic nucleus
1005,Subincertal nucleus
1006,Medial tuberal nucleus
1007,Terete hypothalamic nucleus
1008,Perifornical nucleus
1009,Ventral linear nucleus of the thalamus
1010,Zona incerta
1011,"Zona incerta, caudal part"
1012,"Zona incerta, rostral part"
1013,"Zona incerta, dosal part"
1014,"Zona incerta, ventral part"
1015,DA13 dopamine cells
1016,Nucleus of the fields of Forel
1017,Median eminence
1018,Midbrain
1019,Prerubral field
1020,"Midbrain, sensory related"
1021,Superior colliculus
1022,"Superior colliculus, sensory related"
1023,Optic layer of the superior colliculus
1024,Superficial gray layer of the superior colliculus
1025,Zonal layer of superior colliculus
1026,Inferior colliculus
1027,Central nucleus of the inferior colliculus
1028,Dorsal cortex of the inferior colliculus
1029,External cortex of the inferior colliculus
1030,"External cortex of the inferior colliculus, layer 1"
1031,"External cortex of the inferior colliculus, layer 2"
1032,"External cortex of the inferior colliculus, layer 3"
1033,Commissural nucleus of the inferior colliculus
1034,Recess of the inferior colliculus
1035,Nucleus of the brachium of the inferior colliculus
1036,Sagulum nucleus
1037,Parabigeminal nucleus
1038,Microcellular tegmental nucleus
1039,Mesencephalic trigeminal nucleus
1040,Subcommissural organ 
1041,"Midbrain, motor related"
1042,Mesencephalic reticular formation
1043,prosomere 1 reticular formation
1044,Isthmic reticular formation
1045,Pararubral nucleus
1046,"Substantia nigra, reticular part"
1047,Ventral tegmental area
1048,Paranigral nucleus of the VTA
1049,Parainterfascicular nucleus of the VTA
1050,Parabranchial pigmented nucleus of the VTA
1051,"Ventral tegmental area, rostral part"
1052,Rostral interstitial nucleus of the medial longitudinal fasciculus
1053,DA11 dopamine cells
1054,Retroisthmic nucleus
1055,Retrorubral field
1060,"Superior colliculus, motor related"
1061,Deep gray layer of the superior colliculus
1062,Deep white layer of the superior colliculus
1063,Intermediate white layer of the superior colliculus
1064,Intermediate gray layer of the superior colliculus
1068,Periaqueductal gray
1069,Dorsomedial periaqueductal gray
1070,Lateral periaqueductal gray
1071,Pleoglial periaqueductal gray
1072,Dorsolateral periaqueductal gray
1073,Ventrolateral periaqueductal gray
1074,prosomere 1 periaqueductal gray
1075,Lithoid nucleus
1076,Precommissural nucleus
1077,Interstitial nucleus of Cajal
1078,"Interstitial nucleus of Cajal, shell region"
1079,Nucleus of Darkschewitsch
1080,Supraoculomotor cap
1081,Supraoculomotor periaqueductal gray
1082,Pretectal region
1083,Anterior pretectal nucleus
1084,"Anterior pretectal nucleus, dorsal part"
1085,"Anterior pretectal nucleus, ventral part"
1086,Medial pretectal area
1087,Retrocommissural nucleus
1088,Nucleus of the optic tract
1089,Nucleus of the posterior commissure
1090,Magnocellular nucleus of the posterior commissure
1091,Olivary pretectal nucleus
1092,Posterior pretectal nucleus
1093,Retroparafascicular nucleus
1094,Cuneiform nucleus
1095,Precuneiform area
1096,Red nucleus
1097,"Red nucleus, parvicellular part"
1098,"Red nucleus, magnocellular part"
1099,Medial accessory oculomotor nucleus
1100,Oculomotor nerve
1101,"Oculomotor nucleus, parvicellular part"
1102,Edinger-Westphal nucleus
1103,Pre-Edinger-Westphal nucleus
1104,Trochlear nucleus
1105,Trochlear nucleus shell region
1106,Paratrochlear nucleus
1107,Ventral tegmental nucleus
1108,Anterior tegmental nucleus
1109,Rhabdoid nucleus
1110,Lateral terminal nucleus of the accessory optic tract
1111,Dorsal terminal nucleus
1112,Medial terminal nucleus
1113,"Substantia nigra, lateral part"
1114,"Midbrain, behavioral state related"
1115,"Substantia nigra, compact part"
1116,"Substantia nigra, compact part, dorsal tier"
1117,"Substantia nigra, compact part, medial tier"
1118,Pedunculotegmental nucleus
1119,Subpeduncular tegmental nucleus
1120,Midbrain raphÈ nuclei
1121,Interfascicular nucleus
1122,Interpeduncular nucleus
1123,"Interpeduncular nucleus, rostral subnucleus"
1124,"Interpeduncular nucleus, lateral subnucleus"
1125,"Interpeduncular nucleus, caudal subnucleus"
1126,"Interpeduncular nucleus, dorsomedial subnucleus"
1127,"Interpeduncular nucleus, dorsolateral subnucleus"
1128,"Interpeduncular nucleus, intermediate subnucleus"
1129,"Interpeduncular nucleus, apical subnucleus"
1130,Rostral linear nucleus (midbrain)
1131,Caudal linear nucleus of the raphÈ
1132,Dorsal raphÈ nucleus
1133,"Dorsal raphÈ nucleus, caudal part"
1134,"Dorsal raphÈ nucleus, dorsal part"
1135,Dorsal raphÈ interfascicular part
1136,"Dorsal raphÈ nucleus, lateral part"
1137,"Dorsal raphÈ nucleus, ventral part"
1138,Posterodorsal raphÈ nucleus
1139,Hindbrain
1140,Pons
1141,"Pons, sensory related"
1142,Paralemniscal nucleus
1143,Dorsal nucleus of the lateral lemniscus
1145,Ventral nucleus of the lateral lemniscus
1146,Intermediate nucleus of the lateral lemniscus
1147,"Triangular nucleus, lateral lemniscus"
1148,Principal sensory trigeminal nucleus
1149,"Principal sensory trigeminal nucleus, dorsomedial part"
1150,"Principal sensory trigeminal nucleus, ventrolateral part"
1151,Parabrachial nucleus
1152,Kolliker-Fuse nucleus
1153,Lateral parabrachial nucleus
1154,"Lateral parabrachial nucleus, central part"
1155,"Lateral parabrachial nucleus, crescent part"
1156,"Lateral parabrachial nucleus, dorsal part"
1157,"Lateral parabrachial nucleus, external part"
1158,"Lateral parabrachial nucleus, superior part"
1159,"Lateral parabrachial nucleus, central part"
1160,"Lateral parabrachial nucleus, internal part"
1161,Medial parabrachial nucleus
1162,"Medial parabrachial nucleus, external part"
1165,Superior olivary complex
1166,"Superior olivary complex, periolivary nucleus"
1167,Lateroventral periolivary nucleus
1168,Medioventral periolivary nucleus
1169,Dorsal periolivary region
1170,Caudal periolivary nucleus
1171,Superior paraolivary nucleus
1172,Medial superior olive
1173,Lateral superior olive
1174,Nucleus of the central acoustic tract
1175,"Pons, motor related"
1176,A7 noradrenaline cells
1177,Barrington nucleus
1178,"Barrington nucleus, dorsal part"
1179,"Barrington nucleus, ventral part"
1180,Dorsal tegmental nucleus
1181,"Dorsal tegmental nucleus, central part"
1182,"Dorsal tegmental nucleus, pericentral part"
1183,Posterodorsal tegmental nucleus
1185,Central gray
1186,"Central gray, alpha part"
1187,"Central gray, beta part"
1188,"Central gray, gamma part"
1189,"Central gray, nucleus O"
1190,Pontine nuclei
1191,"Pontine reticular nucleus, caudal part"
1192,Dorsomedial tegmental area
1194,Sphenoid nucleus
1195,Supragenual nucleus
1196,Superior salivatory nucleus
1197,Supratrigeminal nucleus
1198,Reticulotegmental nucleus of the pons
1199,"Reticulotegmental nucleus of the pons, pericentral part"
1200,B9 serotonin cells
1201,Motor trigeminal nucleus
1202,"Motor trigeminal nucleus, anterior digastric part"
1203,"Motor trigeminal nucleus, temporalis part"
1204,Interfascicular trigeminar nucleus
1205,"Motor trigeminal nucleus, masseter part"
1206,Peritrigeminal zone
1207,"Motor trigeminal nucleus, medial pterygoid part"
1208,"Pons, behavioral state related"
1209,Nucleus raphÈ
1210,Paramedian raphÈ nucleus
1211,Median raphÈ nucleus
1212,Locus coeruleus
1213,Laterodorsal tegmental nucleus
1214,"Laterodorsal tegmental nucleus, dorsal part"
1215,"Laterodorsal tegmental nucleus, dorsal part, lateral division"
1216,"Laterodorsal tegmental nucleus, dorsal part, medial division"
1217,"Laterodorsal tegmental nucleus, ventral part"
1219,"Pontine reticular nucleus, oral part"
1220,"Pontine reticular nucleus, ventral part"
1221,Epirubrospinal nucleus
1222,Medial paralemniscial nucleus
1223,"Perilemniscal nucleus, ventral part"
1224,Pontine raphÈ nucleus
1227,Medulla
1228,"Medulla, sensory related"
1229,Area postrema
1230,Area subpostrema
1231,Cochlear nuclei
1232,Granule cell layer of the cochlear nuclei
1233,"Ventral cochlear nucleus, granule cell layer"
1234,Dorsal cochlear nucleus
1235,"Dorsal cochlear nucleus, molecular layer"
1236,"Dorsal cochlear nucleus, fusiform layer"
1237,"Dorsal cochlear nucleus, deep layer"
1238,Ventral cochlear nucleus
1239,"Ventral cochlear nucleus, anterior part"
1240,"Ventral cochlear nucleus, posterior part"
1241,"Ventral cochlear nucleus, posterior part, octopus cell area"
1242,Dorsal column nuclei
1243,Cuneate nucleus
1244,"Cuneate nucleus, dorsal part"
1245,"Cuneate nucleus, rotundus part"
1246,Gracile nucleus
1247,External cuneate nucleus
1248,Nucleus of the trapezoid body
1249,Trigeminal-solitary transition zone
1250,Solitary nucleus
1251,"Solitary nucleus, central part"
1252,"Solitary nucleus, commissural part"
1253,"Solitary nucleus, gelatinous part"
1254,"Solitary nucleus, intermediate part"
1255,"Solitary nucleus, lateral part"
1256,"Solitary nucleus, medial part"
1257,"Solitary nucleus, ventral part"
1258,"Solitary nucleus, ventrolateral part"
1259,"Solitary nucleus, dorsolateral part"
1260,"Solitary nucleus, dorsomedial part"
1261,"Solitary nucleus, interstitial part"
1262,"Soltary nucleus, rostrolateral part"
1263,"Spinal trigeminal nucleus, caudal part"
1264,"Spinal trigeminal nucleus, interpolar part"
1265,"Spinal trigeminal nucleus, oral part"
1269,Dorsomedial spinal trigeminal nucleus
1271,Paratrigeminal nucleus
1273,"Medulla, motor related"
1274,A5 noradrenaline cells
1275,Ad1 adrenaline cells
1276,Ad2 adrenaline cells
1277,Ad3 adrenaline cells
1278,"Subcoeruleus nucleus, alpha part"
1279,"Subcoeruleus nucleus, dorsal part"
1280,"Subcoeruleus nucleus, ventral part"
1281,Abducens nucleus
1282,Paraabducens nucleus
1283,"Abducens nucleus, retractor bulbi part"
1284,Facial nucleus
1285,Perifacial zone
1286,"Facial nucleus, lateral subnucleus"
1287,"Facial nucleus, dorsolateral subnucleus"
1288,"Facial nucleus, ventral intermediate subnucleus"
1289,"Facial nucleus, dorsal intermediate subnucleus"
1290,"Facial nucleus, dorsomedial subnucleus"
1291,"Facial nucleus, ventromedial subnucleus"
1292,"Facial motor nucleus, stylohyoid part"
1293,Nucleus of the origin of efferents of the vestibular nerve
1294,Ambiguus nucleus
1295,"Ambiguus nucleus, compact part"
1296,"Ambiguus nucleus, loose part"
1297,Retroambiguus nucleus
1300,Vagus nerve nucleus
1302,Gigantocellular reticular nucleus
1303,"Gigantocellular reticular nucleus, alpha part"
1304,"Gigantocellular reticular nucleus, ventral part"
1306,Inferior olivary nucleus
1307,"Inferior olive, subnucleus A of medial nucleus"
1308,"Inferior olive, subnucleus B of medial nucleus"
1309,"Inferior olive, subnucleus C of medial nucleus"
1310,"Inferior olive, dorsal nucleus"
1311,"Inferior olive, dorsomedial cell group"
1312,"Inferior olive, principal nucleus"
1313,"Inferior olive, ventrolateral protrusion"
1314,"Inferior olive, cap of Kooy of the medial nucleus"
1315,"Inferior olive, beta subnucleus of the medial nucleus"
1316,"Inferior olive, medial nucleus"
1317,Intermediate reticular nucleus
1318,"Intermediate reticular nucleus, alpha part"
1319,Inferior salivatory nucleus
1320,Linear nucleus of the hindbrain
1321,Lateral reticular nucleus
1323,"Lateral reticular nucleus, parvicellular part"
1325,Paramedian reticular nucleus
1326,"Medullary reticular nucleus, dorsal part"
1327,"Medullary reticular nucleus, ventral part"
1328,Parvicellular reticular nucleus
1329,"Parvicellular reticular nucleus, alpha part"
1330,Trigeminal transition zone
1331,Parasolitary nucleus
1332,Lateral paragigantocellular nucleus
1333,"Lateral paragigantocellular nucleus, external part"
1334,Dorsal paragigantocellular nucleus
1335,"Paragigantocellular reticular nucleus, lateral part"
1336,Caudoventrolateral reticular nucleus
1337,Rostroventrolateral reticular nucleus
1338,Rostral ventral respiratory group
1339,Botzinger complex
1340,Pre-Botzinger complex
1341,Perihypoglossal nuclei
1342,Intercalated nucleus
1343,Intermedius nucleus of the medulla
1344,Nucleus of Roller
1345,Prepositus nucleus
1347,Parapyramidal nucleus
1350,Vestibulocerebellar nucleus
1351,Lateral vestibular nucleus
1352,Medial vestibular nucleus
1353,"Medial vestibular nucleus, magnocellular part"
1354,"Medial vestibular nucleus, parvicellular part"
1355,"Medial vestibular nucleus, parvicellular part, dorsal"
1356,"Medial vestibular nucleus, parvicellular part, ventral"
1357,Spinal vestibular nucleus
1358,Superior vestibular nucleus
1359,F cell group of the vestibular complex
1360,Paracochlear glial substance
1361,Nucleus X
1362,Matrix region of the medulla
1363,Hypoglossal nucleus
1364,Central cervical nucleus of the spinal cord
1365,Nucleus Y of the vestibular complex
1367,"Medulla, behavioral state related"
1368,raphÈ magnus nucleus
1369,raphÈ interpositus nucleus
1370,raphÈ pallidus nucleus
1371,raphÈ obscurus nucleus
1372,fiber tracts
1373,basilar artery
1374,cranial nerves
1376,vomeronasal nerve
1377,olfactory nerve
1378,olfactory nerve layer
1379,"lateral olfactory tract, general"
1380,lateral olfactory tract
1381,dorsal lateral olfactory tract
1383,accessory olfactory tract
1384,"anterior commissure, anterior part"
1385,"anterior commissure, intrabulbar part"
1386,optic nerve
1388,brachium of the superior colliculus
1389,commissure of the superior colliculus
1390,optic chiasm
1391,optic tract
1392,supraoptic decussation
1394,oculomotor nerve
1395,medial longitudinal fasciculus
1396,posterior commissure
1397,trochlear nerve
1400,trigeminal nerve
1401,motor root of the trigeminal nerve
1402,sensory root of the trigeminal nerve
1403,mesencephalic trigeminal tract
1404,spinal trigeminal tract
1405,facial nerve
1406,ascending fibers of the facial nerve
1407,genu of the facial nerve
1408,vestibulocochlear nerve
1409,interstitial nucleus of the vestibular part of the 8th nerve
1411,vestibular root of the vestibulocochlear nerve
1412,cochlear nerve
1413,olivocochlear bundle
1414,trapezoid body
1416,dorsal acoustic stria
1417,lateral lemniscus
1418,commissure of the inferior colliculus
1419,brachium of the inferior colliculus
1420,glossopharyngeal nerve
1421,vagus nerve
1422,solitary tract
1424,hypoglossal nerve
1426,dorsal roots
1427,cervicothalamic tract
1432,dorsal column
1433,cuneate fascicle
1434,gracile fasciculus
1436,medial lemniscus
1437,spinothalamic tract
1443,vestibulospinal tract
1446,hypothalamohypophysial tract
1448,cerebellum related fiber tracts
1449,cerebellar commissure
1450,cerebellar peduncles
1451,superior cerebellar peduncle
1452,decussation of the superior cerebellar peduncle
1453,ventral spinocerebellar tract
1454,uncinate fasciculus of the cerebellum
1455,ventral spinocerebellar tract
1456,middle cerebellar peduncle
1457,transverse fibers of the pons
1458,inferior cerebellar peduncle
1459,dorsal spinocerebellar tract
1462,bulbocerebellar tract
1463,olivocerebellar tract
1466,cerebellar white matter
1467,middle cerebellar peduncle
1468,lateral forebrain bundle system
1469,corpus callosum
1470,forceps minor of the corpus callosum
1471,external capsule
1473,genu of the corpus callosum
1474,forceps major of the corpus callosum
1476,splenium of the corpus callosum
1477,corticospinal tract
1478,internal capsule
1479,cerebral peduncle
1484,pyramidal tract
1485,pyramidal decussation
1488,longitudinal fasciculus of the pons
1489,thalamus related
1490,External medullary lamina
1491,internal medullary lamina
1492,superior thalamic radiation
1495,extrapyramidal fiber systems
1496,cerebral nuclei related
1498,nigrostriatal bundle
1503,tectospinal tract
1505,dorsal tegmental decussation
1507,rubrospinal tract
1508,ventral tegmental decussation
1514,vestibulomesencephalic tract
1515,medial forebrain bundle system
1516,cerebrum related
1519,"anterior commissure, posterior limb"
1520,cingulum
1521,fornix system
1522,alveus of the hippocampus
1523,dorsal fornix
1524,fimbria of the hippocampus
1527,postcommissural fornix
1529,fornix
1530,hippocampal commissures
1531,dorsal hippocampal commissure
1532,ventral hippocampal commissure
1535,longitudinal association bundle
1536,stria terminalis
1537,commissural stria terminalis
1538,hypothalamus related
1539,medial forebrain bundle
1547,retromammillary decussation
1554,mammillary related
1555,principal mammillary tract
1556,mammilothalmic tract
1557,mammillotegmental tract
1558,mammillary peduncle
1561,epithalamus related
1562,stria medullaris
1563,fasciculus retroflexus
1564,habenular commissure
1569,ventricular systems
1570,lateral ventricle
1572,ependymal and subendymal layer/olfacotry ventricle
1573,choroid plexus
1575,interventricular foramen
1576,3rd Ventricle
1577,dorsal third ventricle
1578,aqueduct
1579,4th Ventricle
1580,superior medullary velum
1581,lateral recess of the 4th ventricle
1582,central canal
1583,grooves
1584,grooves of the cerebral cortex
1586,hippocampal fissure
1587,rhinal fissure
1589,grooves of the cerebellar cortex
1590,precentral fissure
1591,preculminate
1592,primary fissure
1593,post superior fissure
1594,prepyramidal fissure
1595,secondary fissure
1596,posterolateral fissure
1599,intercrural fissure
1600,ansoparamedian fissure
1603,parafloccular sulcus
1604,Interpeduncular fossa
1605,"Island of Calleja, major island"
