,regions
157,"Secondary auditory cortex, ventral area, layer 1"
158,"Secondary auditory cortex, ventral area, layer 2/3"
159,"Secondary auditory cortex, ventral area, layer 4"
160,"Secondary auditory cortex, ventral area, layer 5"
161,"Secondary auditory cortex, ventral area, layer 6a"
162,"Secondary auditory cortex, ventral area, layer 6b"
163,Visual cortex
164,"Secondary visual cortex, lateral area"
165,"Secondary visual cortex, lateral area, anterior region"
166,"Secondary visual cortex, lateral area, anterior region, layer1"
167,"Secondary visual cortex, lateral area, anterior region, layer2/3"
168,"Secondary visual cortex, lateral area, anterior region, layer4"
169,"Secondary visual cortex, lateral area, anterior region, layer5"
170,"Secondary visual cortex, lateral area, anterior region, layer6a"
171,"Secondary visual cortex, lateral area, anterior region, layer6b"
172,"Secondary visual cortex, lateral area, intermediate region"
173,"Secondary visual cortex, lateral area, intermediate region, layer1"
174,"Secondary visual cortex, lateral area, intermediate region, layer2/3"
175,"Secondary visual cortex, lateral area, intermediate region, layer4"
176,"Secondary visual cortex, lateral area, intermediate region, layer5"
177,"Secondary visual cortex, lateral area, intermediate region, layer6a"
178,"Secondary visual cortex, lateral area, intermediate region, layer6b"
179,"Secondary visual cortex, lateral area, posterior region"
180,"Secondary visual cortex, lateral area, posterior region, layer1"
181,"Secondary visual cortex, lateral area, posterior region, layer2/3"
182,"Secondary visual cortex, lateral area, posterior region, layer4"
183,"Secondary visual cortex, lateral area, posterior region, layer15"
184,"Secondary visual cortex, lateral area, posterior region, layer6a"
185,"Secondary visual cortex, lateral area, posterior region, layer6b"
186,"Secondary Visual Cortex, Medial area"
187,"Secondary visual cortex, mediolateral area"
188,"Secondary visual cortex, mediolateral area, layer1"
189,"Secondary visual cortex, mediolateral area, layer2/3"
190,"Secondary visual cortex, mediolateral area, layer4"
191,"Secondary visual cortex, mediolateral area, layer5"
192,"Secondary visual cortex, mediolateral area, layer6a"
193,"Secondary visual cortex, mediolateral area, layer6b"
194,"Secondary visual cortex, mediomedial area, anterior region"
195,"Secondary visual cortex, mediomedial area, anterior region, layer1"
196,"Secondary visual cortex, mediomedial area, anterior region, layer2/3"
197,"Secondary visual cortex, mediomedial area, anterior region, layer4"
198,"Secondary visual cortex, mediomedial area, anterior region, layer5"
199,"Secondary visual cortex, mediomedial area, anterior region, layer6a"
200,"Secondary visual cortex, mediomedial area, anterior region, layer6b"
201,"Secondary visual cortex, mediomedial area, posterior region"
202,"Secondary visual cortex, mediomedial area, posterior region, layer1"
203,"Secondary visual cortex, mediomedial area, posterior region, layer2/3"
204,"Secondary visual cortex, mediomedial area, posterior region, layer4"
205,"Secondary visual cortex, mediomedial area, posterior region, layer5"
206,"Secondary visual cortex, mediomedial area, posterior region, layer6a"
207,"Secondary visual cortex, mediomedial area, posterior region, layer6b"
208,Primary visual cortex
209,"Primary visual cortex, layer1"
210,"Primary visual cortex, layer2/3"
211,"Primary visual cortex, layer4"
212,"Primary visual cortex, layer5"
213,"Primary visual cortex, layer6a"
214,"Primary visual cortex, layer6b"
215,"Primary visual cortex, monocular area"
216,"Primary visual cortex, monocular area, layer1"
217,"Primary visual cortex, monocular area, layer2/3"
218,"Primary visual cortex, monocular area, layer4"
219,"Primary visual cortex, monocular area, layer5"
220,"Primary visual cortex, monocular area, layer6a"
221,"Primary visual cortex, monocular area, layer16b"
222,"Primary visual cortex, binocular area"
223,"Primary visual cortex, binocular area, layer1"
224,"Primary visual cortex, binocular area, layer2/3"
225,"Primary visual cortex, binocular area, layer4"
226,"Primary visual cortex, binocular area, layer5"
227,"Primary visual cortex, binocular area, layer6a"
